,Location,new_reviews,Comp
359,Jacksonville fl,great place great area great staff pay parking love read read less,Positive
360,Ft. Lauderdale,three night stay second third morning wake numerous bug bite 12 exact mosquito bite look picture internet look like bed bug bite checkout complain person checkout desk seem care basically blow ask speak manager duty show bite take picture arm leg neck take contact information say go check room get back also look like make monday morning thursday morning hear back stay hotel several time close disney spring future look property disappoint hard believe treat poorly nothing like ruin disney vacation aggravate itching park read read less,Positive
361,"Warminster, Pa, us",beautiful hotel clean friendlyvery accommodate pool great super bar food menu bell service helpful room well take care read read less,Positive
362,"Holderness, NH",great hotel clean decent price work family 3 stay close family fresh meadow without crash little place read read less,Positive
364,"Las Vegas, NV",room pleasing eye king bed comfortable try get room away elevator elevator be not noisy dinging door open noticeable since get early do not take away pleasantness stay many people be not use late night read read less,Positive
365,Vegas,good value price would stay wish food option past 10 p.m. read read less,Positive
366,"La Canada, CA",love hotel stay twice perfect location room small clean need excellent 24 hour diner love staff friendly love read read less,Positive
367,"New Haven, CT",location central travel plan concert madison square garden night pleasantly surprise noise bothersome 25th floor room small frill clean adequate need overall would recommend read read less,Positive
368,"Scituate, MA",great location old nyc style staff always pleasant read read less,Positive
370,Roseville Ca.,great location online say south times square close walk worth money shower door strip fall staff forgot put wash cloth bathroom wife return evening 3 rat cross sidewalk front -PRON- 30 foot reach hotel front door staff say responsible thing outside hotel small coffee restaurant 375 guest read read less,Positive
371,"New Boston, MI",absolutely perfect view amazing arrive staff friendly quick make sure take care read read less,Positive
372,"Auckland, New Zealand",find facility offer wyndham bonnet creek property fantastic lazy river mini golf bbq area eatery great place relax full day disney world road universal parks 20min drive away also lot plan activity around complex hotel dint really advise actually find activity area one tower -PRON- be sure would advise -PRON- ask reception couple downside laundry facility stay 16 night need washing complex do not laundry drop service could find 2025mins away drop pickup 2hrs house keeping also let hotel threee day row kid bunk bed make couple day towel replace take replace daughter bed one night sheet blanket lot small thing pay good amount money also expect read read less,Positive
375,Los Angeles,bed super comfortable room nice clean read read less,Positive
377,"Long Island, NY",liked pool hot tub location important key resort everything either walk distance less drive major theme park read read less,Positive
378,Fort. Wayne Indiana,food hotel tasty chef personable attentive hotel smell wonderfully pool area nice shuttle bus airport efficient time read read less,Positive
381,"Allentown, NJ",third time stay kid love fact access four pool mini golf great activity however time issue house clean first day wake -PRON- early continuously knock open door second day leave ton towel dress table third day room be not even make manager front desk staff excellent genuinely apologize manager duty personally attend -PRON- clean even compe resort fee day property excellent location service cleanliness amenity top notch read read less,Positive
385,"Montreal, ca",wife love hotel great location different attraction clean room great rooftop terrace go back ny definitely go stay hotel read read less,Positive
389,"SF, CA",location great staff accommodate helpful read read less,Positive
390,"WPB, FL",convenient disney area park shop good hotel quick get away weekend fl resident relax top notch spa service read read less,Positive
394,"Grand Rapids, Mn",hotel immaculately clean access pool great sushi deep blu seafood grill wonderful bed comfy great choice hotel stay definitely worth money read read less,Positive
395,fremont,booked room family excite picture beautiful unfortunately arrive expect throughout whole stay whole staff rude helpful property like picture run fall apart cable wifi work 30 time hot tub dirty half jet work definitely will not recommend anyone read read less,Positive
396,"Warren, RI",honest love hotel facilityresort fee ludicrous wifi spotty good business center antiquate do not use gym pay many hotel do not charge include fee price room rather tack end strange business approach read read less,Positive
397,Minnesota,love close disney spring walk multiple time pool ok wish would little slide kid kid area pool room let much noise hard sleep put disturb sign daily still someone room go park good visit long get back hotel early two night could not find parking upset something pay extra daily feel able park pay front desk helpful say daily parking fee could use towards valet make little easy deal spot overall good deal nice able walk disney spring read read less,Positive
399,"West Palm Beach, Florida",haleigh front desk helpful cute read read less,Positive
400,Virginia,would recommend expedia hotel include additional amenity charge 27 day price rip people like go conference look competitive price expedia water bottle cable tv working read read less,Positive
401,"Queens, ny",nice clean convient location take awhile 2 answer phone otherwise polite informative staff read read less,Positive
403,Suitland md,room really date super small morning include fridge microwave etc read read less,Positive
404,"Riverside, California",room small ventilation restroom cause lot moisture great location staff read read less,Positive
405,"Port St. Lucie, Fl",beautiful art deco property much history staff excellent excel service professionalism definitely make favorite hotel frequent trip new york read read less,Positive
407,Washington DC,love get early check extra charge linda check absolutely wonderful highlight stay also love greeter open door do not love anything else hotel room small dark fan bathroom long hair back door smudge tub coffee adolescentcollege kid super loud next room sound seem go right wall also hate 37 service fee wifi aware go charge false advertising base price make distrust hate hotel getgo glad room nyc 200 location great -PRON- be try forget stay would never recommend read read less,Positive
408,"Monterey, US",stayed hotel 4 night really enjoy stay room stay third floor king bed include mini fridge microwave bathroom nice clean bed super comfortable pillow honestly do not anything complain would definitely stay worth price read read less,Positive
409,Roseville CA,unlike big hotel one right us room easy get right size property well maintain staff awesome especially stacy front desk back next time visit area read read less,Positive
412,"New York, ny",great customer service welcome willing help read read less,Positive
413,"Mequon, Wi",disney shuttle service nice close many non disney restaurant grocery store nightly clean service excellent fresh linens bed make clean towel read read less,Positive
414,"san jose, us",proximity disney spring great pool also nice read read less,Positive
415,Bozeman MT,staff friendly nice chat room old smell carpet be not clean everything room need update pay expect read read less,Positive
417,"Spring, TX",wyndham garden anaheim negative trip centrally locate walk distance disney amazing friendly staff front desk snackcoffee station restaurant security spotless update well appoint gate park easy check fitness center clean well equip can not say enough good thing property read read less,Positive
418,Las Vegas,great place stay enjoy beautiful courtyard read read less,Positive
420,Boston,hotel bus stop near convenient need go nearest subway go somewhere without car front desk staff friendly room bit small compare hotel neat clean first night checkedin late around 8 p.m. valet parking space hotel drive around neighborhood park car get valet park next night ok overall enjoy stay hotel read read less,Positive
421,"Boston, MA",superb staff great facility family fantastic stay highly recommend read read less,Positive
422,Myrtle Beach,great amenity quick check convenient disney read read less,Positive
425,Delray Beach Florida,clean comfortable lot outside resort back read read less,Positive
426,Seattle,nice quiet relaxing busy day jacuzzi nice read read less,Positive
427,"Cedar Bluffs, Ne",super reasonable nice staff extremely helpful pool facility clean read read less,Positive
429,kansas,nice hotel stay clean fair price would definitely repeat area read read less,Positive
430,Greenville SC,staff friendly helpful property well keep great location read read less,Positive
431,"Canoga Park, us",absolutely clean definitely well keep inside property read read less,Positive
433,"fort lauderdale, us",hotel nice staff friendly read read less,Positive
437,"Estero,FL",opinion unacceptable hotel room ready 4 p.m. check time arrive 355pm plan family shower travel leave 530pm get engagement 6 p.m. complain 445pm get room secondly call 8 a.m. speak concierge ticket agent theme park discount ticket next day specifically say would one day want visit one park ask discount purchase ticket agent hotel agent say yes 50 discount check say ok wait purchase ticket thereby wait select fast pass option upon arrrival hotel find discount one day ticket agent convenience fee ticket expensive purchase online -PRON- would appreciate honesty morning phone call instead duplicity bright note room clean two experience would never stay 4 p.m. check mean 4 p.m. check especially spend roughly 200 room night read read less,Positive
439,Wisconsin,kidfamily friendly would like well restaurant property kid pool bar great closed time rain can not help kid friendly restaurant hotel alternative read read less,Positive
440,"Sacramento, us",wonderful stay hotel staff courteous room nicely decorate clean get great value room excellent stay option anyone visit cupertino san jose gilroy area read read less,Positive
443,Crown Point,nice hotel however music play pool 10 10 pm music hear throughout property extremely loud tend bit nuisance music be not nice mix sometimes want relax pool sit outside possible read read less,Positive
444,Irvine,bar staff awesome stay hotel good part read read less,Positive
445,New York,great resort pool close lot restaurant read read less,Positive
447,mississauga,amazing resort stay close disney park free transportion parks park connect 3 resort whose amentie use include pool spa nelison great shuttle driver friendly staff approachable always friendly read read less,Positive
448,Ky,staff incredibly friendly pillow soft read read less,Positive
449,New York,like location amenity shuttle park tranquility read read less,Positive
450,"Horseheads,NY, us",property old well maintain room spacious comfortable pool area lovely free breakfast would lock -PRON- wyndom good eat enough morning justify 1200 charge breakfast amount coffee yogurt read read less,Positive
454,"Atlanta, GA",everything great room qas amazinf qith great view except go go check 300 per instruction say room would not ready another hour make big fuss sudden room clean ready -PRON- read read less,Positive
455,"Richmond, VA",outdoor spaces property group good part location pave walk around small lakelagoon take guest several different pool outdoor activity nightly firework nearby disney park light sky pool open late afterpark relaxation read read less,Positive
456,Wethersfield Ct,love proximity everythingtick take diner awesome read read less,Positive
457,Winter garden FL,loved property center everything want cleanliness great everyone really nice helpful read read less,Positive
460,"Victoria, ca",enjoy disney store game room pool also like little bakerystore inside lobby great location bus disneyworld convenient read read less,Positive
461,"largo, fl",room warm bed uncomfortable whole room clean area be not quiet pool nice great atmosphere read read less,Positive
463,"Portland, OR",pleased stay go disneyland hotel new nice clean room location excellent 23 full block park 10 min walk restaurant nearby bar lobby deal breakfast also right across street walgreen cvs really set hotel apart however customer service stacey staff really go way make -PRON- feel home well help resolve important lose luggage issue -PRON- already leave hotel fault definitely stay future trip disneyland highly recommend property read read less,Positive
464,Orlando FL,great location lot place eat tall swing fun ride clean ground well read read less,Positive
465,"Seattle, WA",location close airport convenient room nice supply two towel note reservation 3 guest room staff friendly hallway little dated stain carpet restaurant good enjoy food read read less,Positive
466,"Stuttgart, De",super freundliche personal tolle zimmer zwar sehr klein aber man ist ja eh nur zum schlafen dort und dafür ist es ausreichend read read less,Positive
468,"Dubai, UAE",good location nice enough room helpful staff value money breakfast read read less,Positive
471,St. Lucie west,need makeup hallway lobby beautiful read read less,Positive
472,Carolina Puerto Rico,love location room confortable clean bed amazing read read less,Positive
475,"Pensacola, us",great family kid bunk bed alcove room great kid pool great food back bay poolside great frequent shuttle schedule would great second stay property come read read less,Positive
476,"Zionsville, Pa",like close within walk distance disney spring wish characters character breakfast also day arrive able eat breakfast still wide variety choice next time eat little early be not many choice feel do not really get money worth day busing park helpful although would nice busing every 15 minute instead every 30 minute park opening closings bus extremely overcrowded room clean staff nice helpful definitely plan stay hopefully next time come weather warm try really cool look pool read read less,Positive
479,Coatbridge Scotland,clean central everything within walk distance sight definitely back super helpful friendly staff great food option site read read less,Positive
483,"Honolulu, Hawaii",friendly staff clean big room adequate would stay read read less,Positive
484,"Hillsboro,Oregon",hotel clean convenient get safe comfortable stay dollar read read less,Positive
487,"Hilo, HI, U.S.",relatively quiet attractive ground clean staff excellent read read less,Positive
490,"Portsmouth, RI",property clean inside sometimes bottle cup ground garden area staff excellent help print document need trip last morning assist new transportation airport shuttle cancel 400am stay read read less,Positive
492,Chino Hills,clean nice staff shower drain actually drain read read less,Positive
493,"Ottawa, ca",wonderful location heart new york city convenient train subway major shopping read read less,Positive
494,Chicago,benefit disney resort without price convenient free transportation park walk distance disney springs staff friendly helpful need rent car staying trip disney focus read read less,Positive
495,Orlando us,staff excellent make feel like one read read less,Positive
496,"New Orleans, USA",check 3 p.m. early 50 feea far travel nyc that s first hotel charge early check hotel do not check available room ready guess didntt like part hotel nice read read less,Positive
499,Lewiston NY,staff amazing efficient make check breeze happy willing help everything stay lot hotel far 1 family back read read less,Positive
500,Stoke on Trent UK,hotel perfect place fantastic stay staff lovely read read less,Positive
501,"Miami, Fl.",hotel nice atmosphere beds comfortable complaint hotel long hold luggage arrive early charge 50 check early even room already available clean room daily make bed change towel read read less,Positive
502,Ant landing ga,nice pleasant always clean n nice environment stay read read less,Positive
503,"Clinton, MD",nice hotel area restaurant store room small bed good value read read less,Positive
504,Gainesville florida,walk lobby nice get room completely different room look clean go bathroom tub dirty take shower water will not drain wait 1520mins water drain water completely drain tub disgusting wall paper thing could hear people room next -PRON- also loud music mangos night club across street room staff nice helpful good experience hotel read read less,Positive
505,Immokalee fl,love man make pond center property property clean read read less,Positive
506,"s
 St. Petersburg, Florida",checkin little disappointing try check long day 3 p.m. tell room unavailable travel daughter volleyball team family get room stay pleasant pool great daughter friend blast read read less,Positive
507,Colorado,1 hotel clean 2 nice pool kid 3 house keep either come early clean room 0900 really late 3 p.m. 4 parking machine do not work try pay cc read read less,Positive
510,"Lake alfred, us",family friendly property beautiful read read less,Positive
511,"Reno, Nevada",lobby nice along fresh hot coffee item available purchase would nice healthy option addition item get lose travel toothbrush toothpaste read read less,Positive
512,"Los Angeles, CA",nice place restaurant nice read read less,Positive
513,"Mukilteo, WA",love stay bed comfy shuttle ticket shuttle sell onsite within walk distance restaurant shop staff friendly hotel clean read read less,Positive
517,"State College, PA",convenient location arrive penn station stay want go jfk hotel great location make travel connection read read less,Positive
519,"Los ángeles , us",like everything clean staff friendly shampoo conditioner etc shower read read less,Positive
522,Lubbock tx,love stay beautiful view room wonderfully clean room pool fun read read less,Positive
523,Miami,small bed hot water go one day slow elevator housekeep average great pool nice character breakfast close disney spring read read less,Positive
526,NorCal,alex front desk awesome make process easy treat like family -PRON- would recommend location anyone read read less,Positive
527,Maine,friendly staff convenient location great view read read less,Positive
528,Saratoga Springs NY,hotel nice conveniently locate midtown one word warning room little smallish expect nyc hope stay read read less,Positive
530,Windsor CA,pool amazing room outdate room service good wish available restaurant upstairs ok limited read read less,Positive
531,South Florida,close disney spring great bad room get water first due leak repair also toilet work get room correct overall kid like -PRON- be good read read less,Positive
532,"Glasgow, UK",stay wyndham garden chinatown 13th 20th march 2019 can not rate highly enough first time stay midtown wary first read excellent review give try would never stay anywhere else new york hotel one everything room staff service rooftop bar beyond word would recommend hotel anyone look perfect accommodation perfect location new york read read less,Positive
535,"Westmont, IL, us",room hotel extremely small room king sized bed pull couch supposedly sleep 4 be not near enough storage space unpack 2 let alone 4 be not actual closet room able hang wear next day basically live suitcase say staff friendly efficienttrue disney form although do not use pool look lovely disney spring easy walk great place kid adultsa huge bonus location read read less,Positive
536,"Merlin, Oregon, us",make reservation deluxe 2 bed room get believe handicap 2 bed room reason say shower make could roll step floor sunken water would drain also ask woman leave deluxe room state oh make reservation 3rd party say yes state well get 2 bed room do not believe deluxe room wall paper start come bathroom small room happy camper thank read read less,Positive
537,Fort Collins,hotel staff pleasant helpful gracious much enjoy room awesome view empire state building madison square garden one world trade center hotel great location read read less,Positive
538,NJ,great convenient location room clean friendly staff read read less,Positive
541,American Canyon Ca,friendly environment friendly staff convenient location read read less,Positive
542,"Galloway, NJ",super clean hotel friendly staff lot read read less,Positive
544,"Sacramento, California",free shuttle service san jose airport hotel middle night great beautiful pool garden area nice breakfast restaurant inside be not complementary tasty worth read read less,Positive
548,"Chino Hills, us",well expect comfy bed friendly staff bar restaurant excellent back read read less,Positive
549,NC,first time hotel really check 3 pm late travel need rest important interview finally 3 pm give key room temperature outside temperature 40 try everything heat system 30 minute end give front desk lady start tell -PRON- would wait service guy 30 minute sunday tell interview really need relax first time look encounter hallelujah finally agree change room room absolutely soundproof business neighbor sex yell other elevator button dirty get sick look go back hotel treat people decently read read less,Positive
551,Las Vegas NV,nice quiet close everything need -PRON- would love stay read read less,Positive
552,San Diego,friendly professional staff enjoy stay greatly bathroom sink smell rancid overall room clean comfortable definitely return recommend hotel read read less,Positive
553,"fond du lac, WI",property clean staff friendly shutter service nicethere usb outlet room tv remote function take 2 half hour technician come still solve problem shower water smell muddy read read less,Positive
557,"Portland, OR",friendly helpful staff clean do not like pay breakfast do not realize bar across parking lot fruit juice coffee toast 12 give 12 different breakfast expensive get coffee 3 addon meal way read read less,Positive
562,Arizona,great time go far corona del mar great read read less,Positive
564,"Queretaro , mx",kind attendant can not room 300pm kindly announce good follow read read less,Positive
569,California,excellent breakfast area great staff attend room could wipe well something crusty desktv area trash dent like someone kick electric outlet work hallway dirty could use good wipe smear stainless steel wall area read read less,Positive
577,"West Des Moines, IA",step away disney spring clean spacious room easily accessible lobby pool parking area encounter friendly staff everywhere pleased food option comfortable lobby area wait arrive hour checkin want leave bag bellman delivery room complaint pay self parking lot always full utilize valet instead read read less,Positive
578,Reading pa,close disney spring clean room pool area great read read less,Positive
579,Massachusetts,enjoy stay would certainly stay would recommend would suggest cleaning room double bed small comfortable ant room closet space small pool really nice kid love food delicious buffet breakfast everyday good store lobby open 24hours convenient especially child need snack milk staff friendly bus park come every half hour feel like stay disney hotel love color theme character breakfast read read less,Positive
580,Montreal,nice landscape pool repair state drinkable complimentary coffee like dedication personnel read read less,Positive
582,"Tampa, US",amazing staff helpful accomodating location read read less,Positive
583,Jackson nj,family love pool location super convenient even thing non disney read read less,Positive
584,Flirida,pool great age splash playground little kid read read less,Positive
585,"Georgia, us",clean new close restaurant staff friendly read read less,Positive
586,"sacramento, ca",property sophisticated staff decoration amenitie overall look love stay read read less,Positive
588,Boston,beautiful resort relaxing read read less,Positive
590,"Minneapolis, us",great location near little italy chinatown interesting people stay building staff great read read less,Positive
592,"Washington, DC",great location great coffee shop lunch room lobby read read less,Positive
593,"North Branford, CT.",although property outside beautiful pool amenity great hotel room qhich pay 200 dollar one night date tellevision basic channel room could cleaner upon check hit 24 dollar fee per day maintain room amd property believe include already expensive price thr room 200 dollar room end 250 one night stay less 24 hour building read read less,Positive
594,Chicago,lobby ilwas nice clean laundry eat be not operate well hotel next disney spring 5 minute walk read read less,Positive
595,Huissen,de locatie van het hotel perfect dichtbij het pennstation en timesquare ligt dichtbij en het empire statebuilde de kamers zijn wat gedateerd maar wel netjes en schoon wij hadden een geweldig uitzicht op de 37e verdiepe het hotel zit tick tock diner maar dat vonden wel duur wel lekker en echt amerikaans tegenover het hotel zit mc donald en een pizzeria en de buurt zitten heel veel eettentjes waar je kan ontbijten enige minpuntje toen wij de laatste dag de koffer weg lieten zetten omdat avond gingen vliegen en 1200 uur moesten uitchecken dat 5 per koffer en tas moesten betalen en dat loopt aardig op als je meet je gezin bent zelfs voor een klein tasje moest je 5 betalen read read less,Positive
596,Algoma wiscondin,stay 4 time love easy disney spring park love easy bus read read less,Positive
597,Pt. Pleasant NJ,great place take kid due pool even well picture website room clean staff friendly thing stop give property high rating cost character breakfast expect pay also expect one character show read read less,Positive
600,"Boston, MA",soon walk staff extremely helpful friendly property huge easy navigate plenty parking property accessible everything pool hot tub area always towel always clean can not believe amount negative review property happy decide keep book wyndham feel safe comfortable entire stay read read less,Positive
601,"Oak Ridge, NJ",love location cleanliness facility impeccable staff lovely friendly competent feel safe night day favorite hotel nyc read read less,Positive
602,Boston mass,like bathroom window piece together screw top window sinking leave 1 inch gap make cold crank heat keep bathroom door close block cold sound sleep comfortably bathroom feel like country hick house know house deep hole shack build side cold know manhattan busy city 26th floor window let alot strert sound bellow throughthe rest hotel nice window might return another visit read read less,Positive
603,"Seaside, CA",staff extremely helpful friendly upgraded executive level give free breakfast love stay read read less,Positive
605,Gifu Japan,happy hotel make preparation list 1 body scrub towel disposable type 2 toothbrush single disposable type 3 electric toilet seat difficult set 3 1 useful youyr guest read read less,Positive
606,Toronto,proi love 1920s vibe hotel make feel like step back time small museumlike set downstairs look back history hotel include item tesla hotel step away subway within walk distanceshort subway ride away major nyc attraction staff helpful throughout whole stay con issue hot water come discolour alerted staff read read less,Positive
608,"Paramus, N.J.",facility clean employee courteous helpful pool area beautiful love utilize transportation disney park read read less,Positive
614,"Long Island, NY",classic vintage feel everyone friendly price right definitely stay read read less,Positive
615,Las Vegas,new yorker least five time book two room tell special occasion one room view ok river second room loooke brick wall really like hotel lot thing could better read read less,Positive
616,"Fort Wayne, IN",pool area fantastic variety pool water feature extend hour great stay read read less,Positive
619,"Richmond,va",stay new yorker maybe 5 year ago definitely look way really outdate room super small mean amount spend expect read read less,Positive
621,NYC,beautiful brand new hotel however room small non smoking policy however throughout stay smell marijuana floor elevator read read less,Positive
622,"Covina, CA",would absolutely stay pleased hotel highly recommend place definitely back family time read read less,Positive
623,"Lawrence, KS",pay king size bed give 2 full size bed door room level really push open door overall happy location read read less,Positive
625,"Vancouver, Wa",closeness park clean smell good love comfortable bed read read less,Positive
627,Fonthill,excellent location right across street penn station hotel subway line walkable times square read read less,Positive
628,"Regina, SK",come nyc every year past six seven year stay new yorker great location great staff great facility yeah room small nyc hotel room -PRON- be small travel companion appreciate security around access love able walk theatre village access subway etc guess could use bit face lift give traffic get remain big fan place read read less,Positive
630,Long Island NY,love link dominos tablet lobby super convienient stay overall staff super nice helpful definatly stay read read less,Positive
631,Brooklyn,everything convenient love staff could not ask well stay read read less,Positive
632,Palm Coast FL,beautiful property restaurant site wonderful menu bus shuttle take us disney park read read less,Positive
633,"Clewiston, FL",loved location bed scent pipe throughout lobby area read read less,Positive
634,"Three Rivers, Mi",great location walk distance disney spring room face parking lot loud hard time sleep full day park condition room comfort level do not warrant 25 resort fee read read less,Positive
637,Newcastle,great hotel amazing location tik tok diner great breakfast read read less,Positive
638,"Cobleskill, NY",staff helpful pleasant location convenient penn station room nice would definitely go back read read less,Positive
639,San Jose,employee helpful attentive room clean would nice replace chair inside room leather rip miss wheel lead someone get injure overall good stay read read less,Positive
640,"Aalborg, Denmark",fantastisk god beliggenhe tæt ved 5 avenue time square og generelt god gåafstand til mange attraktioner metroen går 100 meter fra hotellet der er udmærket morgenmad uden imponerer forhold til dansk morgenmad standard rigtig god kaffe der ligger flere morgenmad restauranter gåafstand man det er faktisk rarest benytte sig af hotellets restaurant da man går rigelig forvejen til alt andet man ønsker se personalet er super venlige service mindede og imødekommende vi boede premium lejlighe som er pænt stor me 2 dobbelt senge man det vi er 5 mennesker og der var en sofa som ikke var til opredne måtte vi sove 3 en seng det gik lige os selvom det var lidt træls 10 sal var fint ingen nævneværdig gade støj udover hvad der er normalt en store ligg op ad en police station hvilket car uproblematisk stille gade af new york standard og alligevel så tæt ved alt hotellet er hyggeligt og det fungerer efter hensigten der er en roof top bar som ser hyggelig ud når den er åben vi var der februar fint motionscenter read read less,Positive
641,"Davie, Us",love pool option ground family read read less,Positive
642,Iowa,room small date also find annoying pay fridge room standard amenitie also do not leave city till late check bag never pay service 5 bag rip usually free impressed property especially suppose vip property expedia waste point read read less,Positive
643,Fort Myers,property would expect price right disney spring walk easily difficult find parking spot offer valet room okay clean run internet slow pool nice wait use hot tub due capacity limit overall decent hotel read read less,Positive
644,"Fernandina Beach, FL",perfect resort run disney race weekend close everything clean nice love resort read read less,Positive
645,Bakersfield,town event comfortable easy access south san jose read read less,Positive
646,"Washington, DC",stay generally pleasant one king room reserve available checkin give queen room first night addition much small also break closet door leak shower fixture linger smell cigarette smoke despite property advertise smokefree thankfully speak amalia front desk next morning helpful -PRON- move king room reserve much appreciate help dedication customer service can not say orbitz speak two customer service rep offer coupon future stay authorize issue refund speak manager explain nothing could orbitzs term service permit give different less expensive room pay nothing right pay king room give much small queen room refuse refund difference csrs speak least try help manager clearly care whether get pay company -PRON- have use orbitz 10 year mostly positive experience completely drop ball time -PRON- be sure whether use measly amount reward get compare booking directly worth hassle something go wrong read read less,Positive
647,Orlando FL,lot activity kid pool area choose nice loop around pond walk around enjoy area read read less,Positive
648,Newcastle upon Tyne,load great kid tremendous facility read read less,Positive
649,San Diego CA,receive nice upgrade upon arrival pleasant front desk staff read read less,Positive
650,Boston,property new clean thing great one elevator service staff nice respectful helpful small shopping center across street convenient free breakfast good good variety thing would stay read read less,Positive
651,"San Diego, us",everything general great location awesome staff read read less,Positive
653,Braintree ma,easy access parking across st short walk times square attraction read read less,Positive
654,"Bradenton, US",room clean nice view small balcony read read less,Positive
655,New York,motel really 12 star old wear surprised wyndham garden surprised motel hotel feel mislead orbitzs rate free shuttle airport 10 minute away that s good thing say negatives hotel front desk staff gruff helpful there s free breakfast would expect type hotel room old peel paint cheap furniture old motel could potential really cool there s little golf put green pool keep refurbish nice way feel like -PRON- be spend least amount money keep go do not recommend stay especially price charge read read less,Positive
657,"New York, NY",really great location good transportation option walk distance disney springs uberlyft friendly read read less,Positive
659,Nova,great location beautiful friendly property stunning read read less,Positive
661,Iowa,wife stay new yorker extend stay valentines day although minor issue require change room cold water shower staff pleasant accommodate request location amazing right across street msg near subway station 1015 minute walk times square broadway would stay nyc heartbeat read read less,Positive
662,"New York, NY",view hotel wonderful large window allow view queen nyc read read less,Positive
663,"Nashville, TN, USA",one nice hotel stay especially price range stay king room soak tub absolutely fantastic bed soft comfortable something really expect hotel especially price shower tub also nice staff always helpful overall hotel extremely clean 1010 would stay read read less,Positive
666,"Tulare, ca",friendly staff quick check main entrance room well organize room free wifi tv comfortable bed pillow quality shower towel multiple outlet side bed do not like be not free breakfast read read less,Positive
667,Suwanee GA.,everything place awesome clean superb breakfast serve great crew around definitely go back even think place scale 1 10 give 10 read read less,Positive
670,"Des Moines, IA",staff wonderful whether leave facility arrive back day greet -PRON- smile read read less,Positive
671,"La Verne, California",nice probably pretty fancy 1015 year ago need serious renovation pool area cool little flood inside door recent rain puddle everywhere hot tub slight green sure could chemical use usable pool could definitely warm room cramp furniture use big room unnecessary double desk can not push take ton space bathroom super basic old read read less,Positive
672,"Oakland, ca",enjoy stay nice location stay thank read read less,Positive
674,Brigdeport ct,hotel nice clean staff nice professional love elevator outside view breakfast nice much expect read read less,Positive
678,"irvine, us",nice clean small room modern nice staff read read less,Positive
679,Macon Ga,second time stay wyndham beautiful resort great restaurant nice little store coffee shop pool great timi bar huge plus read read less,Positive
680,Antioch ca,staff friendly fixture room good shape read read less,Positive
681,"Lee, us",location chic service really nice cozy read read less,Positive
683,"Rochester, NY",clean room nicely update helpful staff read read less,Positive
688,"Bakersfield, ca",hotel nice stay suite great bathroom set luxuriously bed pillow comfortable short walk disneyland would definitely stay read read less,Positive
689,"Bronx,new york",lovely hotelclose activite resturant store read read less,Positive
691,"Bethesda, MD",stay perfect new yorker wyndham hotel convenient location extremely clean reasonable price definitely stay next visit ny read read less,Positive
693,"Maine, US",location great amenity nice duck pool wawa right next door read read less,Positive
694,"Chino Hill, CA",staff clean room close disney springs 24 hr store nice read read less,Positive
695,Portland Oregon,great location building well develop room well appoint would put back mini bar snack room read read less,Positive
696,San Jose,clean staff great besides house keep knock door early ask checking read read less,Positive
698,canada,love build love location love room mohammed front desk excellent helpful long line up front desk certain times day discourage also concierge advice read read less,Positive
699,"Queen Creek, us",staff wonderfully friendly helpful room clean nicely appoint disappointment amount street noise window appear single pane dual pane would better block noise otherwise wonderful hotel read read less,Positive
700,"columbus, tx",restaurant bit expensive that s typical inside hotel like otherwise place nice read read less,Positive
704,Illinois,great price hotel property need upgrade read read less,Positive
705,"Washington, DC",room small great view staff give -PRON- complimentary bottle wine celebrate daughter birthday read read less,Positive
706,Ventura CA,nice night time view love light well thing progress enjoy time read read less,Positive
707,"Los Angeles, CA",date hotel staff warm welcome kind steak egg breakfast restaurant amazing read read less,Positive
709,"Edmonton, Alberta Canada",staff helpful accommodate front desk staff help -PRON- save money introduce us lyft monteeh shuttle driver extremely pleasant good company airport read read less,Positive
710,ontario,clean business accomadate room business traveller lovely set pool ground age usable read read less,Positive
711,Elkhorn WI,great location hotel room need little update read read less,Positive
713,CT,wonderful historic property clean great water pressure shower clean friendly people clean convenient location mention clean cleanliness important great room view thank front desk read read less,Positive
714,"Chicago,Il",husband please stay new yorker jan 2325 2019 upon early check offer upgrade 2 queen bed large room layout small upgrade fee room describe roomy 2 full bath terrific plus bed super comfy usually difficult time sleep place away home hereit amazingly quiet restful staff accommodate helpful friendly would encourage anyone think stay make reservation good part meal 24 hour inhouse restaurant tick tock diner excellent addition great hotel food fast hot delicious waitstaff spectacular friendly menu great variety feel good price disappointmentwe get chance enjoy fine dining butcher bankerwhat menu offer space elegant without pretentious definitely next stayas stay new yorker every time visit nyc rich robin g chicagoil read read less,Positive
715,"Deerfield Beach, FL",excellent location conveniently locate next disney spring walk distance love hotel read read less,Positive
716,"Tulsa, Oklahoma, USA",beyond expect whole resort perfect get disney experience without disney price orlando lead conference another location decide move location hotel next year experience great read read less,Positive
718,Boston MA,lobby perfectly set easy access entry comfortable room great night sleep read read less,Positive
720,"Deerfield Beach, Florida",property beautifully maintain stellar view fun water park lazy pool well enjoy dining meal food great stay read read less,Positive
721,NY,like close msg do not like wall really thin noise form room hear read read less,Positive
722,Philadelphia,great location pool area great staff friendly knowledgeable hot water unpredictable shower call maintenance check never come read read less,Positive
723,Northridge,price worth spruce good western cheap resort fee read read less,Positive
724,"middletown, ny",love location across disney springs ideal do not need rent car disney springs restaurants food free entertainment end strip 24 hour supermarket read read less,Positive
